2020/11/04 08:25:10 [error] 8#8: *239 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:26:13 [error] 7#7: *246 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:27:16 [error] 7#7: *248 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:28:19 [error] 7#7: *250 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:29:57 [error] 7#7: *254 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:31:41 [error] 7#7: *279 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:32:56 [error] 8#8: *315 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:34:17 [error] 7#7: *342 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:35:20 [error] 7#7: *352 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:36:23 [error] 7#7: *354 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:37:08 [error] 7#7: *325 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:37:36 [error] 7#7: *363 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:38:07 [error] 7#7: *365 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:38:38 [error] 7#7: *367 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:39:09 [error] 7#7: *369 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
2020/11/04 08:39:40 [error] 7#7: *371 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/login"
